Word,Translation,Status,Source,logentry,revision_seq
aje,tomorrow,1,Direct translation. @Bazibon helped with pronoun comparison.,../Ginger 2025-05-05 T2055 - Tonight's iterative guessing.md,1
alpp,BIRTH,2,Used to describe `zuli`'s birth year.,../Ginger 2025-04-26 T0903 - `subt` series as time-related.md,1
apu,when,1,Direct translation.,../Ginger 2025-05-05 T2055 - Tonight's iterative guessing.md,1
beba,begin,1,Direct translation. (;(not) beba.),../Ginger 2025-05-11 T2103 - Iterative guessing.md,1
btebr,yourself,0,Guess. Based on `ja` (:pdepr beax.) contrasted with `je` (:btebr beax.).,../Ginger 2025-05-04 T2048 - Start of iterative guessing.md,1
cji,today,1,Direct translation. @Bazibon helped with pronoun comparison.,../Ginger 2025-05-05 T2055 - Tonight's iterative guessing.md,1
deqhm,WORD,3,From `yutehe` (:zuf deqhm. y kuuee.).,../Ginger 2025-04-25 T0822 - Number words.md,1
ee,AND,3,"Based on `bhh ee qhh`. Probably not ""or"", since `ee kap` is a common construction.",../Ginger 2025-04-24 T0830 - Words from opening pages.md,1
ehjr,end,1,Defined as synonymous with `heba`.,../Ginger 2025-05-18 T1651 - Back after long absence.md,1
eje,yesterday,1,Direct translation. @Bazibon helped with pronoun comparison.,../Ginger 2025-05-05 T2055 - Tonight's iterative guessing.md,1
heba,end,1,Inferred from `xhjr` (; finish/end): (; k. vk heba.),../Ginger 2025-05-11 T2103 - Iterative guessing.md,1
hji,isn't,1,Direct translation of `hji`: (;(not) (to be)).,../Ginger 2025-05-11 T2103 - Iterative guessing.md,1
hmbaao,understand,0,Maybe `oraux hmbaao` (;read understand) is a good description of a dictionary?,../Ginger 2025-04-24 T0830 - Words from opening pages.md,1
hucher,something/anything,0,[@Bazibon](https://discord.com/channels/1201585304964976820/1293941074464735262/1368583402944593930),../Ginger 2025-05-05 T0851 - Many changes in the night.md,1
in,or,1,[@DJJazzware](https://discord.com/channels/1201585304964976820/1293941074464735262/1368718513849499678),../Ginger 2025-05-05 T0851 - Many changes in the night.md,1
ja,me,0,"Guess. Based on `kevin` (:1 yra pdepr.), which may say something like ""is<VB> this<PN> me<NN>"".",../Ginger 2025-05-04 T2048 - Start of iterative guessing.md,1
je,you,0,Guess. Based on `ja` (:pdepr beax.) contrasted with `je` (:btebr beax.).,../Ginger 2025-05-04 T2048 - Start of iterative guessing.md,1
ji,is,1,Direct translation of `hji`: (;(not) (to be)).,../Ginger 2025-05-11 T2103 - Iterative guessing.md,2
ji,to be,1,[@Bazibon](https://discord.com/channels/1201585304964976820/1293941074464735262/1368919374387351602),../Ginger 2025-05-05 T2055 - Tonight's iterative guessing.md,1
ju,add/mix,2,"Used to add above numbers together, e.g. `yamte` is (:ju ysi yre.)",../Ginger 2025-04-25 T0822 - Number words.md,1
kakauka,unmixed,2,Direct translation: (;(add/mix) (that) (that) (isn't).),../Ginger 2025-05-11 T2103 - Iterative guessing.md,1
kap,not,1,Inference. `axuax` defined as (:kap uxaux. zuf bteb.) and `uxaux` defined as (:kap axuax. zuf bteb.).,../Ginger 2025-05-04 T2048 - Start of iterative guessing.md,1
ket,button/press/touch,2,[@KevinDu](https://discord.com/channels/1201585304964976820/1293941074464735262/1368588393147142247),../Ginger 2025-05-05 T0851 - Many changes in the night.md,1
laf,delay,1,Full translation. A noun defined as (:ju lela.) (;add time.).,../Ginger 2025-05-04 T2048 - Start of iterative guessing.md,1
lela,time,1,[@Desi](https://discord.com/channels/1201585304964976820/1293941074464735262/1367789434455588906),../Ginger 2025-05-02 T0904 - `lela` as 'time'.md,1
olla,hello,1,"KevinDu's comment on itch.io store page, replying to ""OXY"" with `OXY olla.`",../Ginger 2025-05-18 T1651 - Back after long absence.md,1
oraux,read,3,Based on first page of dictionary.,../Ginger 2025-04-24 T0830 - Words from opening pages.md,1
